Temperature,Relative_Humidity,Wind_Speed,Soil_Temperature,Soil_Moisture,CAUTION
26.65,92,5.23,27.03,0.26,0
26.32,93,5.75,26.87,0.26,0
25.95,93,6.01,26.68,0.26,0
25.50,94,6.33,26.49,0.26,0
25.41,94,6.66,26.30,0.26,0
25.14,94,6.66,26.12,0.26,0
25.59,93,6.66,25.96,0.26,0
28.05,85,6.01,26.04,0.26,0
29.83,76,6.33,26.38,0.26,0
31.19,70,5.49,26.87,0.26,1
31.87,68,4.39,27.41,0.26,1
31.36,79,2.94,27.74,0.27,1
29.83,81,2.15,28.12,0.27,0
30.60,81,1.92,28.45,0.27,0
30.92,86,2.88,28.75,0.29,0
30.57,89,3.47,28.99,0.29,0
29.16,85,4.52,29.02,0.32,0
28.68,90,3.84,28.96,0.31,0
28.58,94,5.01,28.84,0.30,0
27.31,92,3.11,27.83,0.29,0
27.12,92,4.17,27.58,0.29,0
26.95,93,4.80,27.36,0.29,0
26.80,93,4.80,27.13,0.29,0
26.67,93,4.39,26.93,0.29,0
26.52,93,4.00,26.75,0.28,0
26.20,94,4.14,26.54,0.28,0
26.06,94,4.21,26.31,0.28,0
25.98,94,4.71,26.11,0.28,0
25.90,94,4.91,25.90,0.28,0
25.87,94,4.52,25.71,0.28,0
26.06,94,4.34,25.58,0.28,0
27.45,90,4.74,25.71,0.28,0
28.26,84,5.01,26.00,0.28,0
27.93,84,4.65,26.18,0.28,0
28.05,83,4.65,26.34,0.28,0
28.86,81,4.06,26.61,0.27,0
29.21,78,3.96,27.00,0.27,0
30.16,74,4.08,27.50,0.27,0
30.47,73,4.80,28.08,0.27,0
29.16,78,5.60,28.26,0.27,0
28.62,81,5.92,28.29,0.27,0
28.41,83,6.22,28.24,0.27,0
27.39,87,6.18,28.12,0.27,0
27.09,86,9.32,28.15,0.27,0
26.52,89,9.32,27.74,0.27,0
26.13,92,9.07,27.37,0.27,0
25.82,93,8.50,26.98,0.27,0
25.70,94,7.35,26.65,0.27,0
25.47,95,6.22,26.29,0.27,0
25.29,96,5.84,25.97,0.27,0
25.03,97,5.09,25.63,0.27,0
24.79,98,3.96,25.30,0.27,0
24.70,98,3.41,24.99,0.27,0
24.63,99,3.04,24.70,0.27,0
25.15,96,2.62,24.52,0.27,0
26.58,90,2.28,24.74,0.27,0
27.24,88,2.15,25.05,0.27,0
29.01,80,1.79,25.65,0.27,0
30.03,75,2.15,26.36,0.27,0
30.72,71,3.21,27.06,0.26,0
29.06,79,4.56,27.43,0.26,0
28.46,84,5.12,27.52,0.28,0
28.10,86,5.12,27.50,0.29,0
27.71,88,5.07,27.47,0.29,0
27.42,90,5.06,27.40,0.30,0
27.16,92,5.07,27.31,0.31,0
26.95,94,4.72,27.21,0.31,0
26.57,89,3.71,27.47,0.28,0
26.22,91,3.21,27.07,0.28,0
25.87,93,2.29,26.68,0.27,0
25.67,94,1.33,26.31,0.27,0
25.14,97,1.51,25.98,0.27,0
24.74,96,1.79,25.66,0.27,0
24.41,96,2.20,25.37,0.27,0
24.08,96,2.72,25.08,0.27,0
23.76,96,3.20,24.82,0.27,0
23.41,96,4.00,24.59,0.27,0
23.20,96,4.34,24.37,0.27,0
24.00,94,4.91,24.23,0.27,0
26.13,90,5.23,24.38,0.27,0
27.46,86,5.25,24.74,0.27,0
28.40,81,4.74,25.18,0.27,0
29.20,77,5.33,25.71,0.27,0
29.77,74,6.68,26.24,0.26,0
30.16,73,7.28,26.80,0.26,0
30.43,73,7.43,27.35,0.26,0
30.38,73,7.53,27.84,0.26,0
30.07,74,6.95,28.16,0.26,0
28.97,77,5.59,28.24,0.26,0
28.41,79,5.06,28.20,0.26,0
28.13,82,3.74,28.11,0.26,0
27.00,89,2.93,28.06,0.29,0
26.50,91,4.08,27.64,0.28,0
26.14,92,4.47,27.27,0.28,0
25.81,94,4.30,26.89,0.28,0
25.53,92,3.93,26.55,0.28,0
25.16,92,4.30,26.21,0.28,0
24.87,92,4.21,25.89,0.28,0
24.47,92,4.72,25.58,0.28,0
24.16,92,5.01,25.31,0.28,0
23.93,91,4.80,25.03,0.28,0
23.65,91,4.80,24.78,0.27,0
24.15,91,4.58,24.57,0.27,0
26.66,92,3.84,24.69,0.27,0
28.85,80,3.84,25.11,0.27,0
30.00,77,3.04,25.66,0.27,0
29.81,82,2.83,26.12,0.28,0
29.27,77,3.21,26.45,0.28,0
28.63,79,3.04,26.91,0.28,0
29.91,77,3.34,27.31,0.28,0
29.69,80,3.71,27.58,0.28,0
29.55,80,3.81,27.77,0.28,0
